Liked;hilangkan_kapital;Review_clean_V2
1;no complaints;complaints
1;this is some seriously good pizza and i m an expert connisseur on the topic;seriously good pizza expert connisseur topic
0;waiter was a jerk;waiter jerk
0;strike who wants to be rushed;strike wants rushed
1;these are the nicest restaurant owners i ve ever come across;nicest restaurant owners ever come across
0;i never come again;never come
1;we loved the biscuits;loved biscuits
1;service is quick and friendly;service quick friendly
0;ordered an appetizer and took minutes and then the pizza another minutes;ordered appetizer took minutes pizza another minutes
1;so absolutley fantastic;absolutley fantastic
0;it was a huge awkward lb piece of cow that was ths gristle and fat;huge awkward lb piece cow ths gristle fat
1;definitely will come back here again;definitely come back
1;i like steiners because it s dark and it feels like a bar;like steiners dark feels like bar
1;wow very spicy but delicious;wow spicy delicious
1;if you re not familiar check it out;familiar check
0;i ll take my business dinner dollars elsewhere;take business dinner dollars elsewhere
1;i d love to go back;love go back
1;anyway this fs restaurant has a wonderful breakfast lunch;anyway fs restaurant wonderful breakfast lunch
0;nothing special;nothing special
1;each day of the week they have a different deal and it s all so delicious;day week different deal delicious
1;not to mention the combination of pears almonds and bacon is a big winner;mention combination pears almonds bacon big winner
0;will not be back;back
0;sauce was tasteless;sauce tasteless
1;the food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way;food delicious spicy enough sure ask spicier prefer way
1;my ribeye steak was cooked perfectly and had great mesquite flavor;ribeye steak cooked perfectly great mesquite flavor
0;i don t think we ll be going back anytime soon;think going back anytime soon
1;food was so gooodd;food gooodd
0;i am far from a sushi connoisseur but i can definitely tell the difference between good food and bad food and this was certainly bad food;far sushi connoisseur definitely tell difference good food bad food certainly bad food
0;i was so insulted;insulted
0;the last times i had lunch here has been bad;last times lunch bad
0;the chicken wings contained the driest chicken meat i have ever eaten;chicken wings contained driest chicken meat ever eaten
1;the food was very good and i enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc;food good enjoyed every mouthful enjoyable relaxed venue couples small family groups etc
1;nargile i think you are great;nargile think great
1;best tater tots in the southwest;best tater tots southwest
1;we loved the place;loved place
0;definitely not worth the i paid;definitely worth paid
1;the vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough;vanilla ice cream creamy smooth profiterole choux pastry fresh enough
1;im in az all the time and now have my new spot;im az time new spot
0;the manager was the worst;manager worst
1;the inside is really quite nice and very clean;inside really quite nice clean
1;the food was outstanding and the prices were very reasonable;food outstanding prices reasonable
0;i don t think i ll be running back to carly s anytime soon for food;think running back carly anytime soon food
0;this is was due to the fact that it took minutes to be acknowledged then another minutes to get our food and they kept forgetting things;due fact took minutes acknowledged another minutes get food kept forgetting things
1;love the margaritas too;love margaritas
1;this was my first and only vegas buffet and it did not disappoint;first vegas buffet disappoint
1;very good though;good though
0;the one down note is the ventilation could use some upgrading;one note ventilation could use upgrading
1;great pork sandwich;great pork sandwich
0;don t waste your time here;waste time
0;total letdown i would much rather just go to the camelback flower shop and cartel coffee;total letdown would much rather go camelback flower shop cartel coffee
0;third the cheese on my friend s burger was cold;third cheese friend burger cold
1;we enjoy their pizza and brunch;enjoy pizza brunch
1;the steaks are all well trimmed and also perfectly cooked;steaks well trimmed also perfectly cooked
1;we had a group of when we claimed we would only have and they handled us beautifully;group claimed would handled us beautifully
1;i loved it;loved
0;we asked for the bill to leave without eating and they didn t bring that either;asked bill leave without eating bring either
1;this place is a jewel in las vegas and exactly what i ve been hoping to find in nearly ten years living here;place jewel las vegas exactly hoping find nearly ten years living
0;seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh;seafood limited boiled shrimp crab legs crab legs definitely taste fresh
0;the selection of food was not the best;selection food best
1;delicious and i will absolutely be back;delicious absolutely back
1;this isn t a small family restaurant this is a fine dining establishment;small family restaurant fine dining establishment
1;they had a toro tartare with a cavier that was extraordinary and i liked the thinly sliced wagyu with white truffle;toro tartare cavier extraordinary liked thinly sliced wagyu white truffle
0;i dont think i will be back for a very long time;dont think back long time
0;it was attached to a gas station and that is rarely a good sign;attached gas station rarely good sign
1;how awesome is that;awesome
1;i will be back many times soon;back many times soon
1;the menu had so much good stuff on it i could not decide;menu much good stuff could decide
0;worse of all he humiliated his worker right in front of me bunch of horrible name callings;worse humiliated worker right front bunch horrible name callings
1;conclusion very filling meals;conclusion filling meals
1;their daily specials are always a hit with my group;daily specials always hit group
0;and then tragedy struck;tragedy struck
1;the pancake was also really good and pretty large at that;pancake also really good pretty large
1;this was my first crawfish experience and it was delicious;first crawfish experience delicious
1;their monster chicken fried steak and eggs is my all time favorite;monster chicken fried steak eggs time favorite
1;waitress was sweet and funny;waitress sweet funny
1;i also had to taste my mom s multi grain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious;also taste mom multi grain pumpkin pancakes pecan butter amazing fluffy delicious
0;i d rather eat airline food seriously;rather eat airline food seriously
1;cant say enough good things about this place;cant say enough good things place
1;the ambiance was incredible;ambiance incredible
1;the waitress and manager are so friendly;waitress manager friendly
0;i would not recommend this place;would recommend place
0;overall i wasn t very impressed with noca;overall impressed noca
0;my gyro was basically lettuce only;gyro basically lettuce
0;terrible service;terrible service
0;thoroughly disappointed;thoroughly disappointed
1;i don t each much pasta but i love the homemade hand made pastas and thin pizzas here;much pasta love homemade hand made pastas thin pizzas
1;give it a try you will be happy you did;give try happy
1;by far the best cheesecurds we have ever had;far best cheesecurds ever
1;reasonably priced also;reasonably priced also
1;everything was perfect the night we were in;everything perfect night
1;the food is very good for your typical bar food;food good typical bar food
0;it was a drive to get there;drive get
1;at first glance it is a lovely bakery cafe nice ambiance clean friendly staff;first glance lovely bakery cafe nice ambiance clean friendly staff
0;anyway i do not think i will go back there;anyway think go back
1;point your finger at any item on the menu order it and you won t be disappointed;point finger item menu order disappointed
1;oh this is such a thing of beauty this restaurant;oh thing beauty restaurant
1;if you haven t gone here go now;gone go
0;a greasy unhealthy meal;greasy unhealthy meal
0;first time there and might just be the last;first time might last
1;those burgers were amazing;burgers amazing
0;similarly the delivery man did not say a word of apology when our food was minutes late;similarly delivery man say word apology food minutes late
0;and it was way to expensive;way expensive
1;be sure to order dessert even if you need to pack it to go the tiramisu and cannoli are both to die for;sure order dessert even need pack go tiramisu cannoli die
1;this was my first time and i can t wait until the next;first time wait next
1;the bartender was also nice;bartender also nice
1;everything was good and tasty;everything good tasty
1;this place is two thumbs up way up;place two thumbs way
1;the best place in vegas for breakfast just check out a sat or sun;best place vegas breakfast check sat sun
1;if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place;love authentic mexican food want whole bunch interesting yet delicious meats choose need try place
0;terrible management;terrible management
1;an excellent new restaurant by an experienced frenchman;excellent new restaurant experienced frenchman
0;if there were zero stars i would give it zero stars;zero stars would give zero stars
1;great steak great sides great wine amazing desserts;great steak great sides great wine amazing desserts
0;worst martini ever;worst martini ever
1;the steak and the shrimp are in my opinion the best entrees at gc;steak shrimp opinion best entrees gc
1;i had the opportunity today to sample your amazing pizzas;opportunity today sample amazing pizzas
0;we waited for thirty minutes to be seated although there were vacant tables and we were the only folks waiting;waited thirty minutes seated although vacant tables folks waiting
1;the yellowtail carpaccio was melt in your mouth fresh;yellowtail carpaccio melt mouth fresh
0;i won t try going back there even if it s empty;try going back even empty
0;no i m going to eat the potato that i found some strangers hair in it;going eat potato found strangers hair
1;just spicy enough perfect actually;spicy enough perfect actually
1;last night was my second time dining here and i was so happy i decided to go back;last night second time dining happy decided go back
0;not even a hello we will be right with you;even hello right
0;the desserts were a bit strange;desserts bit strange
1;my boyfriend and i came here for the first time on a recent trip to vegas and could not have been more pleased with the quality of food and service;boyfriend came first time recent trip vegas could pleased quality food service
1;i really do recommend this place you can go wrong with this donut place;really recommend place go wrong donut place
1;nice ambiance;nice ambiance
1;i would recommend saving room for this;would recommend saving room
0;i guess maybe we went on an off night but it was disgraceful;guess maybe went night disgraceful
0;however my recent experience at this particular location was not so good;however recent experience particular location good
0;i know this is not like the other restaurants at all something is very off here;know like restaurants something
0;avoid this establishment;avoid establishment
0;i think this restaurant suffers from not trying hard enough;think restaurant suffers trying hard enough
1;all of the tapas dishes were delicious;tapas dishes delicious
1;i heart this place;heart place
0;my salad had a bland vinegrette on the baby greens and hearts of palm;salad bland vinegrette baby greens hearts palm
0;after two i felt disgusting;two felt disgusting
1;a good time;good time
1;i believe that this place is a great stop for those with a huge belly and hankering for sushi;believe place great stop huge belly hankering sushi
1;generous portions and great taste;generous portions great taste
0;i will never go back to this place and will never ever recommended this place to anyone;never go back place never ever recommended place anyone
0;the servers went back and forth several times not even so much as an are you being helped;servers went back forth several times even much helped
1;food was delicious;food delicious
0;an hour seriously;hour seriously
0;i consider this theft;consider theft
0;eew this location needs a complete overhaul;eew location needs complete overhaul
0;we recently witnessed her poor quality of management towards other guests as well;recently witnessed poor quality management towards guests well
0;waited and waited and waited;waited waited waited
1;he also came back to check on us regularly excellent service;also came back check us regularly excellent service
1;our server was super nice and checked on us many times;server super nice checked us many times
0;the pizza tasted old super chewy in not a good way;pizza tasted old super chewy good way
0;i swung in to give them a try but was deeply disappointed;swung give try deeply disappointed
1;service was good and the company was better;service good company better
1;the staff are also very friendly and efficient;staff also friendly efficient
1;as for the service i m a fan because it s quick and you re being served by some nice folks;service fan quick served nice folks
0;boy was that sucker dry;boy sucker dry
0;over rated;rated
0;if you look for authentic thai food go else where;look authentic thai food go else
1;their steaks are recommended;steaks recommended
0;after i pulled up my car i waited for another minutes before being acknowledged;pulled car waited another minutes acknowledged
1;great food and great service in a clean and friendly setting;great food great service clean friendly setting
1;all in all i can assure you i ll be back;assure back
0;i hate those things as much as cheap quality black olives;hate things much cheap quality black olives
1;my breakfast was perpared great with a beautiful presentation of giant slices of toast lightly dusted with powdered sugar;breakfast perpared great beautiful presentation giant slices toast lightly dusted powdered sugar
0;the kids play area is nasty;kids play area nasty
1;great place fo take out or eat in;great place fo take eat
1;the waitress was friendly and happy to accomodate for vegan veggie options;waitress friendly happy accomodate vegan veggie options
1;omg i felt like i had never eaten thai food until this dish;omg felt like never eaten thai food dish
0;it was extremely crumby and pretty tasteless;extremely crumby pretty tasteless
0;it was a pale color instead of nice and char and has no flavor;pale color instead nice char flavor
1;the croutons also taste homemade which is an extra plus;croutons also taste homemade extra plus
0;i got home to see the driest damn wings ever;got home see driest damn wings ever
1;it ll be a regular stop on my trips to phoenix;regular stop trips phoenix
1;i really enjoyed crema caf before they expanded i even told friends they had the best breakfast;really enjoyed crema caf expanded even told friends best breakfast
0;not good for the money;good money
1;i miss it and wish they had one in philadelphia;miss wish one philadelphia
0;we got sitting fairly fast but ended up waiting minutes just to place our order another minutes before the food arrived;got sitting fairly fast ended waiting minutes place order another minutes food arrived
1;they also have the best cheese crisp in town;also best cheese crisp town
1;good value great food great service;good value great food great service
1;couldn t ask for a more satisfying meal;ask satisfying meal
1;the food is good;food good
1;it was awesome;awesome
0;i just wanted to leave;wanted leave
1;we made the drive all the way from north scottsdale and i was not one bit disappointed;made drive way north scottsdale one bit disappointed
0;i will not be eating there again;eating
0;the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one;owners really really need quit soooooo cheap let wrap freaking sandwich two papers one
0;i checked out this place a couple years ago and was not impressed;checked place couple years ago impressed
0;the chicken i got was definitely reheated and was only ok the wedges were cold and soggy;chicken got definitely reheated ok wedges cold soggy
0;sorry i will not be getting food from here anytime soon;sorry getting food anytime soon
1;an absolute must visit;absolute must visit
1;the cow tongue and cheek tacos are amazing;cow tongue cheek tacos amazing
0;my friend did not like his bloody mary;friend like bloody mary
0;despite how hard i rate businesses its actually rare for me to give a star;despite hard rate businesses actually rare give star
1;they really want to make your experience a good one;really want make experience good one
0;i will not return;return
0;i had the chicken pho and it tasted very bland;chicken pho tasted bland
0;very disappointing;disappointing
1;the grilled chicken was so tender and yellow from the saffron seasoning;grilled chicken tender yellow saffron seasoning
0;a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait;drive thru means want wait around half hour food somehow end going make us wait wait
1;pretty awesome place;pretty awesome place
1;ambience is perfect;ambience perfect
0;best of luck to the rude and non customer service focused new management;best luck rude non customer service focused new management
0;any grandmother can make a roasted chicken better than this one;grandmother make roasted chicken better one
0;i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself;asked multiple times wine list time ignored went hostess got one
1;the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby;staff always super friendly helpful especially cool bring two small boys baby
1;four stars for the food the guy in the blue shirt for his great vibe still letting us in to eat;four stars food guy blue shirt great vibe still letting us eat
1;the roast beef sandwich tasted really good;roast beef sandwich tasted really good
0;same evening him and i are both drastically sick;evening drastically sick
1;high quality chicken on the chicken caesar salad;high quality chicken chicken caesar salad
0;ordered burger rare came in we ll done;ordered burger rare came done
1;we were promptly greeted and seated;promptly greeted seated
0;tried to go here for lunch and it was a madhouse;tried go lunch madhouse
1;i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable;proven dead wrong sushi bar quality great service fast food impeccable
0;after waiting an hour and being seated i was not in the greatest of moods;waiting hour seated greatest moods
1;this is a good joint;good joint
1;the macarons here are insanely good;macarons insanely good
0;i m not eating here;eating
1;our waiter was very attentive friendly and informative;waiter attentive friendly informative
0;maybe if they weren t cold they would have been somewhat edible;maybe cold would somewhat edible
0;this place has a lot of promise but fails to deliver;place lot promise fails deliver
0;very bad experience;bad experience
0;what a mistake;mistake
0;food was average at best;food average best
1;great food;great food
0;we won t be going back anytime soon;going back anytime soon
0;very very disappointed ordered the big bay plater;disappointed ordered big bay plater
1;great place to relax and have an awesome burger and beer;great place relax awesome burger beer
1;it is perfect for a sit down family meal or get together with a few friends;perfect sit family meal get together friends
0;not much flavor to them and very poorly constructed;much flavor poorly constructed
1;the patio seating was very comfortable;patio seating comfortable
0;the fried rice was dry as well;fried rice dry well
1;hands down my favorite italian restaurant;hands favorite italian restaurant
1;that just screams legit in my book somethat s also pretty rare here in vegas;screams legit book somethat also pretty rare vegas
1;it was just not a fun experience;fun experience
1;the atmosphere was great with a lovely duo of violinists playing songs we requested;atmosphere great lovely duo violinists playing songs requested
1;i personally love the hummus pita baklava falafels and baba ganoush it s amazing what they do with eggplant;personally love hummus pita baklava falafels baba ganoush amazing eggplant
1;very convenient since we were staying at the mgm;convenient since staying mgm
1;the owners are super friendly and the staff is courteous;owners super friendly staff courteous
1;both great;great
1;eclectic selection;eclectic selection
1;the sweet potato tots were good but the onion rings were perfection or as close as i have had;sweet potato tots good onion rings perfection close
1;the staff was very attentive;staff attentive
1;and the chef was generous with his time even came around twice so we can take pictures with him;chef generous time even came around twice take pictures
1;the owner used to work at nobu so this place is really similar for half the price;owner used work nobu place really similar half price
0;google mediocre and i imagine smashburger will pop up;google mediocre imagine smashburger pop
0;dont go here;dont go
1;i promise they won t disappoint;promise disappoint
0;as a sushi lover avoid this place by all means;sushi lover avoid place means
1;what a great double cheeseburger;great double cheeseburger
1;awesome service and food;awesome service food
1;a fantastic neighborhood gem;fantastic neighborhood gem
1;i can t wait to go back;wait go back
0;the plantains were the worst i ve ever tasted;plantains worst ever tasted
1;it s a great place and i highly recommend it;great place highly recommend
0;service was slow and not attentive;service slow attentive
1;i gave it stars then and i m giving it stars now;gave stars giving stars
0;your staff spends more time talking to themselves than me;staff spends time talking
1;dessert panna cotta was amazing;dessert panna cotta amazing
1;very good food great atmosphere;good food great atmosphere
1;damn good steak;damn good steak
0;total brunch fail;total brunch fail
1;prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo;prices reasonable flavors spot sauce home made slaw drenched mayo
1;the decor is nice and the piano music soundtrack is pleasant;decor nice piano music soundtrack pleasant
1;the steak was amazing rge fillet relleno was the best seafood plate i have ever had;steak amazing rge fillet relleno best seafood plate ever
1;good food good service;good food good service
1;it was absolutely amazing;absolutely amazing
0;i probably won t be back to be honest;probably back honest
1;will definitely be back;definitely back
1;the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well;sergeant pepper beef sandwich auju sauce excellent sandwich well
1;hawaiian breeze mango magic and pineapple delight are the smoothies that i ve tried so far and they re all good;hawaiian breeze mango magic pineapple delight smoothies tried far good
0;went for lunch service was slow;went lunch service slow
0;we had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed;much say place walked expected amazing quickly disappointed
0;i was mortified;mortified
0;needless to say we will never be back here again;needless say never back
0;anyways the food was definitely not filling at all and for the price you pay you should expect more;anyways food definitely filling price pay expect
0;the chips that came out were dripping with grease and mostly not edible;chips came dripping grease mostly edible
0;i wasn t really impressed with strip steak;really impressed strip steak
1;have been going since and every meal has been awesome;going since every meal awesome
1;our server was very nice and attentive as were the other serving staff;server nice attentive serving staff
1;the cashier was friendly and even brought the food out to me;cashier friendly even brought food
0;i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer;work hospitality industry paradise valley refrained recommending cibo longer
1;the atmosphere here is fun;atmosphere fun
0;would not recommend to others;would recommend others
1;service is quick and even to go orders are just like we like it;service quick even go orders like like
0;i mean really how do you get so famous for your fish and chips when it s so terrible;mean really get famous fish chips terrible
1;that said our mouths and bellies were still quite pleased;said mouths bellies still quite pleased
0;not my thing;thing
1;thumbs up;thumbs
0;if you are reading this please don t go there;reading please go
1;i loved the grilled pizza reminded me of legit italian pizza;loved grilled pizza reminded legit italian pizza
1;only pros large seating area nice bar area great simple drink menu the best brick oven pizza with homemade dough;pros large seating area nice bar area great simple drink menu best brick oven pizza homemade dough
1;they have a really nice atmosphere;really nice atmosphere
0;tonight i had the elk filet special and it sucked;tonight elk filet special sucked
1;after one bite i was hooked;one bite hooked
0;we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything;ordered old classics new dishes going times sorely disappointed everything
1;cute quaint simple honest;cute quaint simple honest
1;the chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside;chicken deliciously seasoned perfect fry outside moist chicken inside
1;the food was great as always compliments to the chef;food great always compliments chef
1;special thanks to dylan t for the recommendation on what to order all yummy for my tummy;special thanks dylan recommendation order yummy tummy
1;awesome selection of beer;awesome selection beer
1;great food and awesome service;great food awesome service
1;one nice thing was that they added gratuity on the bill since our party was larger than or and they didn t expect more tip than that;one nice thing added gratuity bill since party larger expect tip
0;a fly was in my apple juice a fly;fly apple juice fly
1;the han nan chicken was also very tasty;han nan chicken also tasty
1;as for the service i thought it was good;service thought good
0;the food was barely lukewarm so it must have been sitting waiting for the server to bring it out to us;food barely lukewarm must sitting waiting server bring us
0;ryan s bar is definitely one edinburgh establishment i won t be revisiting;ryan bar definitely one edinburgh establishment revisiting
1;nicest chinese restaurant i ve been in a while;nicest chinese restaurant
1;overall i like there food and the service;overall like food service
1;they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world;also serve indian naan bread hummus spicy pine nut sauce world
0;probably never coming back and wouldn t recommend it;probably never coming back recommend
0;friend s pasta also bad he barely touched it;friend pasta also bad barely touched
1;try them in the airport to experience some tasty food and speedy friendly service;try airport experience tasty food speedy friendly service
1;i love the decor with the chinese calligraphy wall paper;love decor chinese calligraphy wall paper
1;never had anything to complain about here;never anything complain
1;the restaurant is very clean and has a family restaurant feel to it;restaurant clean family restaurant feel
0;it was way over fried;way fried
0;i m not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place;sure long stood long enough begin feel awkwardly place
0;when i opened the sandwich i was impressed but not in a good way;opened sandwich impressed good way
0;will not be back;back
1;there was a warm feeling with the service and i felt like their guest for a special treat;warm feeling service felt like guest special treat
1;an extensive menu provides lots of options for breakfast;extensive menu provides lots options breakfast
1;i always order from the vegetarian menu during dinner which has a wide array of options to choose from;always order vegetarian menu dinner wide array options choose
0;i have watched their prices inflate portions get smaller and management attitudes grow rapidly;watched prices inflate portions get smaller management attitudes grow rapidly
1;wonderful lil tapas and the ambience made me feel all warm and fuzzy inside;wonderful lil tapas ambience made feel warm fuzzy inside
1;i got to enjoy the seafood salad with a fabulous vinegrette;got enjoy seafood salad fabulous vinegrette
1;the wontons were thin not thick and chewy almost melt in your mouth;wontons thin thick chewy almost melt mouth
1;level spicy was perfect where spice didn t over whelm the soup;level spicy perfect spice whelm soup
1;we were sat right on time and our server from the get go was fantastic;sat right time server get go fantastic
0;main thing i didn t enjoy is that the crowd is of older crowd around mid s and up;main thing enjoy crowd older crowd around mid
1;when i m on this side of town this will definitely be a spot i ll hit up again;side town definitely spot hit
0;i had to wait over minutes to get my drink and longer to get arepas;wait minutes get drink longer get arepas
1;this is a great place to eat;great place eat
1;the jalapeno bacon is soooo good;jalapeno bacon soooo good
0;the service was poor and thats being nice;service poor thats nice
1;food was good service was good prices were good;food good service good prices good
0;the place was not clean and the food oh so stale;place clean food oh stale
0;the chicken dishes are ok the beef is like shoe leather;chicken dishes ok beef like shoe leather
0;but the service was beyond bad;service beyond bad
1;i m so happy to be here;happy
0;tasted like dirt;tasted like dirt
1;one of the few places in phoenix that i would definately go back to again;one places phoenix would definately go back
1;the block was amazing;block amazing
1;it s close to my house it s low key non fancy affordable prices good food;close house low key non fancy affordable prices good food
1;both the hot sour the egg flower soups were absolutely stars;hot sour egg flower soups absolutely stars
0;my sashimi was poor quality being soggy and tasteless;sashimi poor quality soggy tasteless
1;great time family dinner on a sunday night;great time family dinner sunday night
0;the food is not tasty at all not to say its real traditional hunan style;food tasty say real traditional hunan style
0;what did bother me was the slow service;bother slow service
1;the flair bartenders are absolutely amazing;flair bartenders absolutely amazing
0;their frozen margaritas are way too sugary for my taste;frozen margaritas way sugary taste
1;these were so good we ordered them twice;good ordered twice
0;so in a nutshell the restaraunt smells like a combination of a dirty fish market and a sewer;nutshell restaraunt smells like combination dirty fish market sewer
0;my girlfriend s veal was very bad;girlfriend veal bad
0;unfortunately it was not good;unfortunately good
1;i had a pretty satifying experience;pretty satifying experience
1;join the club and get awesome offers via email;join club get awesome offers via email
1;perfect for someone me who only likes beer ice cold or in this case even colder;perfect someone likes beer ice cold case even colder
0;bland and flavorless is a good way of describing the barely tepid meat;bland flavorless good way describing barely tepid meat
0;the chains which i m no fan of beat this place easily;chains fan beat place easily
1;the nachos are a must have;nachos must
0;we will not be coming back;coming back
1;i don t have very many words to say about this place but it does everything pretty well;many words say place everything pretty well
1;the staff is super nice and very quick even with the crazy crowds of the downtown juries lawyers and court staff;staff super nice quick even crazy crowds downtown juries lawyers court staff
1;great atmosphere friendly and fast service;great atmosphere friendly fast service
1;when i received my pita it was huge it did have a lot of meat in it so thumbs up there;received pita huge lot meat thumbs
0;once your food arrives it s meh;food arrives meh
0;paying for a hot dog and fries that looks like it came out of a kid s meal at the wienerschnitzel is not my idea of a good meal;paying hot dog fries looks like came kid meal wienerschnitzel idea good meal
1;the classic maine lobster roll was fantastic;classic maine lobster roll fantastic
0;my brother in law who works at the mall ate here same day and guess what he was sick all night too;brother law works mall ate day guess sick night
1;so good i am going to have to review this place twice once hereas a tribute to the place and once as a tribute to an event held here last night;good going review place twice hereas tribute place tribute event held last night
1;the chips and salsa were really good the salsa was very fresh;chips salsa really good salsa fresh
1;this place is great;place great
0;mediocre food;mediocre food
1;once you get inside you ll be impressed with the place;get inside impressed place
0;i m super pissd;super pissd
1;and service was super friendly;service super friendly
0;why are these sad little vegetables so overcooked;sad little vegetables overcooked
1;this place was such a nice surprise;place nice surprise
1;they were golden crispy and delicious;golden crispy delicious
0;i had high hopes for this place since the burgers are cooked over a charcoal grill but unfortunately the taste fell flat way flat;high hopes place since burgers cooked charcoal grill unfortunately taste fell flat way flat
1;i could eat their bruschetta all day it is devine;could eat bruschetta day devine
0;not a single employee came out to see if we were ok or even needed a water refill once they finally served us our food;single employee came see ok even needed water refill finally served us food
1;lastly the mozzarella sticks they were the best thing we ordered;lastly mozzarella sticks best thing ordered
1;the first time i ever came here i had an amazing experience i still tell people how awesome the duck was;first time ever came amazing experience still tell people awesome duck
0;the server was very negligent of our needs and made us feel very unwelcome i would not suggest this place;server negligent needs made us feel unwelcome would suggest place
0;the service was terrible though;service terrible though
0;this place is overpriced not consistent with their boba and it really is overpriced;place overpriced consistent boba really overpriced
0;it was packed;packed
1;i can say that the desserts were yummy;say desserts yummy
1;the seasonal fruit was fresh white peach puree;seasonal fruit fresh white peach puree
0;it kept getting worse and worse so now i m officially done;kept getting worse worse officially done
0;this place should honestly be blown up;place honestly blown
0;but i definitely would not eat here again;definitely would eat
0;do not waste your money here;waste money
1;i love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes;love put food nice plastic containers opposed cramming little paper takeout boxes
1;the cr pe was delicate and thin and moist;cr pe delicate thin moist
0;awful service;awful service
0;won t ever go here again;ever go
0;food quality has been horrible;food quality horrible
0;for that price i can think of a few place i would have much rather gone;price think place would much rather gone
0;the service here is fair at best;service fair best
0;i do love sushi but i found kabuki to be over priced over hip and under services;love sushi found kabuki priced hip services
0;do yourself a favor and stay away from this dish;favor stay away dish
0;very poor service;poor service
0;no one at the table thought the food was above average or worth the wait that we had for it;one table thought food average worth wait
1;best service and food ever maria our server was so good and friendly she made our day;best service food ever maria server good friendly made day
1;they were excellent;excellent
0;i paid the bill but did not tip because i felt the server did a terrible job;paid bill tip felt server terrible job
1;just had lunch here and had a great experience;lunch great experience
0;i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor;never bland food surprised considering article read focused much spices flavor
0;food is way overpriced and portions are fucking small;food way overpriced portions fucking small
1;i recently tried caballero s and i have been back every week since;recently tried caballero back every week since
0;for bucks a head i really expect better food;bucks head really expect better food
1;the food came out at a good pace;food came good pace
1;i ate there twice on my last visit and especially enjoyed the salmon salad;ate twice last visit especially enjoyed salmon salad
0;we could not believe how dirty the oysters were;could believe dirty oysters
0;this place deserves no stars;place deserves stars
1;in fact i m going to round up to stars just because she was so awesome;fact going round stars awesome
0;to my disbelief each dish qualified as the worst version of these foods i have ever tasted;disbelief dish qualified worst version foods ever tasted
0;bad day or not i have a very low tolerance for rude customer service people it is your job to be nice and polite wash dishes otherwise;bad day low tolerance rude customer service people job nice polite wash dishes otherwise
1;the potatoes were great and so was the biscuit;potatoes great biscuit
0;i probably would not go here again;probably would go
1;so flavorful and has just the perfect amount of heat;flavorful perfect amount heat
1;the price is reasonable and the service is great;price reasonable service great
0;the wife hated her meal coconut shrimp and our friends really did not enjoy their meals either;wife hated meal coconut shrimp friends really enjoy meals either
0;my fella got the huevos rancheros and they didn t look too appealing;fella got huevos rancheros look appealing
1;went in for happy hour great list of wines;went happy hour great list wines
1;some may say this buffet is pricey but i think you get what you pay for and this place you are getting quite a lot;may say buffet pricey think get pay place getting quite lot
0;i probably won t be coming back here;probably coming back
0;worst food service i ve had in a while;worst food service
1;this place is pretty good nice little vibe in the restaurant;place pretty good nice little vibe restaurant
1;talk about great customer service of course we will be back;talk great customer service course back
0;hot dishes are not hot cold dishes are close to room temp i watched staff prepare food with bare hands no gloves everything is deep fried in oil;hot dishes hot cold dishes close room temp watched staff prepare food bare hands gloves everything deep fried oil
1;i love their fries and their beans;love fries beans
1;always a pleasure dealing with him;always pleasure dealing
1;they have a plethora of salads and sandwiches and everything i ve tried gets my seal of approval;plethora salads sandwiches everything tried gets seal approval
1;this place is awesome if you want something light and healthy during the summer;place awesome want something light healthy summer
1;for sushi on the strip this is the place to go;sushi strip place go
1;the service was great even the manager came and helped with our table;service great even manager came helped table
0;the feel of the dining room was more college cooking course than high class dining and the service was slow at best;feel dining room college cooking course high class dining service slow best
0;i started this review with two stars but i m editing it to give it only one;started review two stars editing give one
0;this is the worst sushi i have ever eat besides costco s;worst sushi ever eat besides costco
1;all in all an excellent restaurant highlighted by great service a unique menu and a beautiful setting;excellent restaurant highlighted great service unique menu beautiful setting
1;my boyfriend and i sat at the bar and had a completely delightful experience;boyfriend sat bar completely delightful experience
0;weird vibe from owners;weird vibe owners
0;there was hardly any meat;hardly meat
