index;Review;Liked;dataCleaning;hilangkan_kapital;Review_clean;Review_clean_V2
245;-Drinks took close to 30 minutes to come out at one point.;0;Drinks took close to minutes to come out at one point;drinks took close to minutes to come out at one point;['drinks', 'took', 'close', 'minutes', 'come', 'one', 'point'];drinks took close minutes come one point
246;Seriously flavorful delights, folks.;1;Seriously flavorful delights folks;seriously flavorful delights folks;['seriously', 'flavorful', 'delights', 'folks'];seriously flavorful delights folks
247;Much better than the other AYCE sushi place I went to in Vegas.;1;Much better than the other AYCE sushi place I went to in Vegas;much better than the other ayce sushi place i went to in vegas;['much', 'better', 'ayce', 'sushi', 'place', 'went', 'vegas'];much better ayce sushi place went vegas
248;The lighting is just dark enough to set the mood.;1;The lighting is just dark enough to set the mood;the lighting is just dark enough to set the mood;['lighting', 'dark', 'enough', 'set', 'mood'];lighting dark enough set mood
249;Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.;0;Based on the sub par service I received and no effort to show their gratitude for my business I won t be going back;based on the sub par service i received and no effort to show their gratitude for my business i won t be going back;['based', 'sub', 'par', 'service', 'received', 'effort', 'show', 'gratitude', 'business', 'going', 'back'];based sub par service received effort show gratitude business going back
250;Owner's are really great people.!;1;Owner s are really great people;owner s are really great people;['owner', 'really', 'great', 'people'];owner really great people
251;There is nothing privileged about working/eating there.;0;There is nothing privileged about working eating there;there is nothing privileged about working eating there;['nothing', 'privileged', 'working', 'eating'];nothing privileged working eating
252;The Greek dressing was very creamy and flavorful.;1;The Greek dressing was very creamy and flavorful;the greek dressing was very creamy and flavorful;['greek', 'dressing', 'creamy', 'flavorful'];greek dressing creamy flavorful
253;Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.;0;Overall I don t think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too;overall i don t think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too;['overall', 'think', 'would', 'take', 'parents', 'place', 'made', 'similar', 'complaints', 'silently', 'felt'];overall think would take parents place made similar complaints silently felt
254;Now the pizza itself was good the peanut sauce was very tasty.;1;Now the pizza itself was good the peanut sauce was very tasty;now the pizza itself was good the peanut sauce was very tasty;['pizza', 'good', 'peanut', 'sauce', 'tasty'];pizza good peanut sauce tasty
255;We had 7 at our table and the service was pretty fast.;1;We had at our table and the service was pretty fast;we had at our table and the service was pretty fast;['table', 'service', 'pretty', 'fast'];table service pretty fast
256;Fantastic service here.;1;Fantastic service here;fantastic service here;['fantastic', 'service'];fantastic service
257;I as well would've given godfathers zero stars if possible.;0;I as well would ve given godfathers zero stars if possible;i as well would ve given godfathers zero stars if possible;['well', 'would', 'given', 'godfathers', 'zero', 'stars', 'possible'];well would given godfathers zero stars possible
258;They know how to make them here.;1;They know how to make them here;they know how to make them here;['know', 'make'];know make
259;very tough and very short on flavor!;0;very tough and very short on flavor;very tough and very short on flavor;['tough', 'short', 'flavor'];tough short flavor
260;I hope this place sticks around.;1;I hope this place sticks around;i hope this place sticks around;['hope', 'place', 'sticks', 'around'];hope place sticks around
261;I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.;0;I have been in more than a few bars in Vegas and do not ever recall being charged for tap water;i have been in more than a few bars in vegas and do not ever recall being charged for tap water;['bars', 'vegas', 'ever', 'recall', 'charged', 'tap', 'water'];bars vegas ever recall charged tap water
262;The restaurant atmosphere was exquisite.;1;The restaurant atmosphere was exquisite;the restaurant atmosphere was exquisite;['restaurant', 'atmosphere', 'exquisite'];restaurant atmosphere exquisite
263;Good service, very clean, and inexpensive, to boot!;1;Good service very clean and inexpensive to boot;good service very clean and inexpensive to boot;['good', 'service', 'clean', 'inexpensive', 'boot'];good service clean inexpensive boot
264;The seafood was fresh and generous in portion.;1;The seafood was fresh and generous in portion;the seafood was fresh and generous in portion;['seafood', 'fresh', 'generous', 'portion'];seafood fresh generous portion
265;Plus, it's only 8 bucks.;1;Plus it s only bucks;plus it s only bucks;['plus', 'bucks'];plus bucks
266;The service was not up to par, either.;0;The service was not up to par either;the service was not up to par either;['service', 'par', 'either'];service par either
267;Thus far, have only visited twice and the food was absolutely delicious each time.;1;Thus far have only visited twice and the food was absolutely delicious each time;thus far have only visited twice and the food was absolutely delicious each time;['thus', 'far', 'visited', 'twice', 'food', 'absolutely', 'delicious', 'time'];thus far visited twice food absolutely delicious time
268;Just as good as when I had it more than a year ago!;1;Just as good as when I had it more than a year ago;just as good as when i had it more than a year ago;['good', 'year', 'ago'];good year ago
269;For a self proclaimed coffee cafe, I was wildly disappointed.;0;For a self proclaimed coffee cafe I was wildly disappointed;for a self proclaimed coffee cafe i was wildly disappointed;['self', 'proclaimed', 'coffee', 'cafe', 'wildly', 'disappointed'];self proclaimed coffee cafe wildly disappointed
270;The Veggitarian platter is out of this world!;1;The Veggitarian platter is out of this world;the veggitarian platter is out of this world;['veggitarian', 'platter', 'world'];veggitarian platter world
271;You cant go wrong with any of the food here.;1;You cant go wrong with any of the food here;you cant go wrong with any of the food here;['cant', 'go', 'wrong', 'food'];cant go wrong food
272;You can't beat that.;1;You can t beat that;you can t beat that;['beat'];beat
273;Stopped by this place while in Madison for the Ironman, very friendly, kind staff.;1;Stopped by this place while in Madison for the Ironman very friendly kind staff;stopped by this place while in madison for the ironman very friendly kind staff;['stopped', 'place', 'madison', 'ironman', 'friendly', 'kind', 'staff'];stopped place madison ironman friendly kind staff
274;The chefs were friendly and did a good job.;1;The chefs were friendly and did a good job;the chefs were friendly and did a good job;['chefs', 'friendly', 'good', 'job'];chefs friendly good job
275;I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.;0;I ve had better not only from dedicated boba tea spots but even from Jenni Pho;i ve had better not only from dedicated boba tea spots but even from jenni pho;['better', 'dedicated', 'boba', 'tea', 'spots', 'even', 'jenni', 'pho'];better dedicated boba tea spots even jenni pho
276;I liked the patio and the service was outstanding.;1;I liked the patio and the service was outstanding;i liked the patio and the service was outstanding;['liked', 'patio', 'service', 'outstanding'];liked patio service outstanding
277;The goat taco didn't skimp on the meat and wow what FLAVOR!;1;The goat taco didn t skimp on the meat and wow what FLAVOR;the goat taco didn t skimp on the meat and wow what flavor;['goat', 'taco', 'skimp', 'meat', 'wow', 'flavor'];goat taco skimp meat wow flavor
278;I think not again;0;I think not again;i think not again;['think'];think
279;I had the mac salad and it was pretty bland so I will not be getting that again.;0;I had the mac salad and it was pretty bland so I will not be getting that again;i had the mac salad and it was pretty bland so i will not be getting that again;['mac', 'salad', 'pretty', 'bland', 'getting'];mac salad pretty bland getting
280;I went to Bachi Burger on a friend's recommendation and was not disappointed.;1;I went to Bachi Burger on a friend s recommendation and was not disappointed;i went to bachi burger on a friend s recommendation and was not disappointed;['went', 'bachi', 'burger', 'friend', 'recommendation', 'disappointed'];went bachi burger friend recommendation disappointed
281;Service stinks here!;0;Service stinks here;service stinks here;['service', 'stinks'];service stinks
282;I waited and waited.;0;I waited and waited;i waited and waited;['waited', 'waited'];waited waited
283;This place is not quality sushi, it is not a quality restaurant.;0;This place is not quality sushi it is not a quality restaurant;this place is not quality sushi it is not a quality restaurant;['place', 'quality', 'sushi', 'quality', 'restaurant'];place quality sushi quality restaurant
284;I would definitely recommend the wings as well as the pizza.;1;I would definitely recommend the wings as well as the pizza;i would definitely recommend the wings as well as the pizza;['would', 'definitely', 'recommend', 'wings', 'well', 'pizza'];would definitely recommend wings well pizza
285;Great Pizza and Salads!;1;Great Pizza and Salads;great pizza and salads;['great', 'pizza', 'salads'];great pizza salads
286;Things that went wrong: - They burned the saganaki.;0;Things that went wrong They burned the saganaki;things that went wrong they burned the saganaki;['things', 'went', 'wrong', 'burned', 'saganaki'];things went wrong burned saganaki
287;We waited an hour for what was a breakfast I could have done 100 times better at home.;0;We waited an hour for what was a breakfast I could have done times better at home;we waited an hour for what was a breakfast i could have done times better at home;['waited', 'hour', 'breakfast', 'could', 'done', 'times', 'better', 'home'];waited hour breakfast could done times better home
288;This place is amazing!;1;This place is amazing;this place is amazing;['place', 'amazing'];place amazing
289;I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.;0;I hate to disagree with my fellow Yelpers but my husband and I were so disappointed with this place;i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place;['hate', 'disagree', 'fellow', 'yelpers', 'husband', 'disappointed', 'place'];hate disagree fellow yelpers husband disappointed place
290;Waited 2 hours & never got either of our pizzas as many other around us who came in later did!;0;Waited hours never got either of our pizzas as many other around us who came in later did;waited hours never got either of our pizzas as many other around us who came in later did;['waited', 'hours', 'never', 'got', 'either', 'pizzas', 'many', 'around', 'us', 'came', 'later'];waited hours never got either pizzas many around us came later
291;Just don't know why they were so slow.;0;Just don t know why they were so slow;just don t know why they were so slow;['know', 'slow'];know slow
292;The staff is great, the food is delish, and they have an incredible beer selection.;1;The staff is great the food is delish and they have an incredible beer selection;the staff is great the food is delish and they have an incredible beer selection;['staff', 'great', 'food', 'delish', 'incredible', 'beer', 'selection'];staff great food delish incredible beer selection
293;I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.;0;I live in the neighborhood so I am disappointed I won t be back here because it is a convenient location;i live in the neighborhood so i am disappointed i won t be back here because it is a convenient location;['live', 'neighborhood', 'disappointed', 'back', 'convenient', 'location'];live neighborhood disappointed back convenient location
294;I didn't know pulled pork could be soooo delicious.;1;I didn t know pulled pork could be soooo delicious;i didn t know pulled pork could be soooo delicious;['know', 'pulled', 'pork', 'could', 'soooo', 'delicious'];know pulled pork could soooo delicious
295;You get incredibly fresh fish, prepared with care.;1;You get incredibly fresh fish prepared with care;you get incredibly fresh fish prepared with care;['get', 'incredibly', 'fresh', 'fish', 'prepared', 'care'];get incredibly fresh fish prepared care
296;Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.;0;Before I go in to why I gave a star rating please know that this was my third time eating at Bachi burger before writing a review;before i go in to why i gave a star rating please know that this was my third time eating at bachi burger before writing a review;['go', 'gave', 'star', 'rating', 'please', 'know', 'third', 'time', 'eating', 'bachi', 'burger', 'writing', 'review'];go gave star rating please know third time eating bachi burger writing review
297;I love the fact that everything on their menu is worth it.;1;I love the fact that everything on their menu is worth it;i love the fact that everything on their menu is worth it;['love', 'fact', 'everything', 'menu', 'worth'];love fact everything menu worth
298;Never again will I be dining at this place!;0;Never again will I be dining at this place;never again will i be dining at this place;['never', 'dining', 'place'];never dining place
299;The food was excellent and service was very good.;1;The food was excellent and service was very good;the food was excellent and service was very good;['food', 'excellent', 'service', 'good'];food excellent service good
300;Good beer & drink selection and good food selection.;1;Good beer drink selection and good food selection;good beer drink selection and good food selection;['good', 'beer', 'drink', 'selection', 'good', 'food', 'selection'];good beer drink selection good food selection
301;Please stay away from the shrimp stir fried noodles.;0;Please stay away from the shrimp stir fried noodles;please stay away from the shrimp stir fried noodles;['please', 'stay', 'away', 'shrimp', 'stir', 'fried', 'noodles'];please stay away shrimp stir fried noodles
302;The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.;0;The potato chip order was sad I could probably count how many chips were in that box and it was probably around;the potato chip order was sad i could probably count how many chips were in that box and it was probably around;['potato', 'chip', 'order', 'sad', 'could', 'probably', 'count', 'many', 'chips', 'box', 'probably', 'around'];potato chip order sad could probably count many chips box probably around
303;Food was really boring.;0;Food was really boring;food was really boring;['food', 'really', 'boring'];food really boring
304;Good Service-check!;1;Good Service check;good service check;['good', 'service', 'check'];good service check
305;This greedy corporation will NEVER see another dime from me!;0;This greedy corporation will NEVER see another dime from me;this greedy corporation will never see another dime from me;['greedy', 'corporation', 'never', 'see', 'another', 'dime'];greedy corporation never see another dime
306;Will never, ever go back.;0;Will never ever go back;will never ever go back;['never', 'ever', 'go', 'back'];never ever go back
307;As much as I'd like to go back, I can't get passed the atrocious service and will never return.;0;As much as I d like to go back I can t get passed the atrocious service and will never return;as much as i d like to go back i can t get passed the atrocious service and will never return;['much', 'like', 'go', 'back', 'get', 'passed', 'atrocious', 'service', 'never', 'return'];much like go back get passed atrocious service never return
308;In the summer, you can dine in a charming outdoor patio - so very delightful.;1;In the summer you can dine in a charming outdoor patio so very delightful;in the summer you can dine in a charming outdoor patio so very delightful;['summer', 'dine', 'charming', 'outdoor', 'patio', 'delightful'];summer dine charming outdoor patio delightful
309;I did not expect this to be so good!;1;I did not expect this to be so good;i did not expect this to be so good;['expect', 'good'];expect good
310;Fantastic food!;1;Fantastic food;fantastic food;['fantastic', 'food'];fantastic food
311;She ordered a toasted English muffin that came out untoasted.;0;She ordered a toasted English muffin that came out untoasted;she ordered a toasted english muffin that came out untoasted;['ordered', 'toasted', 'english', 'muffin', 'came', 'untoasted'];ordered toasted english muffin came untoasted
312;The food was very good.;1;The food was very good;the food was very good;['food', 'good'];food good
313;Never going back.;0;Never going back;never going back;['never', 'going', 'back'];never going back
314;Great food for the price, which is very high quality and house made.;1;Great food for the price which is very high quality and house made;great food for the price which is very high quality and house made;['great', 'food', 'price', 'high', 'quality', 'house', 'made'];great food price high quality house made
315;The bus boy on the other hand was so rude.;0;The bus boy on the other hand was so rude;the bus boy on the other hand was so rude;['bus', 'boy', 'hand', 'rude'];bus boy hand rude
316;By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.;0;By this point my friends and I had basically figured out this place was a joke and didn t mind making it publicly and loudly known;by this point my friends and i had basically figured out this place was a joke and didn t mind making it publicly and loudly known;['point', 'friends', 'basically', 'figured', 'place', 'joke', 'mind', 'making', 'publicly', 'loudly', 'known'];point friends basically figured place joke mind making publicly loudly known
317;Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.;1;Back to good BBQ lighter fare reasonable pricing and tell the public they are back to the old ways;back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways;['back', 'good', 'bbq', 'lighter', 'fare', 'reasonable', 'pricing', 'tell', 'public', 'back', 'old', 'ways'];back good bbq lighter fare reasonable pricing tell public back old ways
318;And considering the two of us left there very full and happy for about $20, you just can't go wrong.;1;And considering the two of us left there very full and happy for about you just can t go wrong;and considering the two of us left there very full and happy for about you just can t go wrong;['considering', 'two', 'us', 'left', 'full', 'happy', 'go', 'wrong'];considering two us left full happy go wrong
319;All the bread is made in-house!;1;All the bread is made in house;all the bread is made in house;['bread', 'made', 'house'];bread made house
320;The only downside is the service.;0;The only downside is the service;the only downside is the service;['downside', 'service'];downside service
321;Also, the fries are without a doubt the worst fries I've ever had.;0;Also the fries are without a doubt the worst fries I ve ever had;also the fries are without a doubt the worst fries i ve ever had;['also', 'fries', 'without', 'doubt', 'worst', 'fries', 'ever'];also fries without doubt worst fries ever
322;Service was exceptional and food was a good as all the reviews.;1;Service was exceptional and food was a good as all the reviews;service was exceptional and food was a good as all the reviews;['service', 'exceptional', 'food', 'good', 'reviews'];service exceptional food good reviews
323;A couple of months later, I returned and had an amazing meal.;1;A couple of months later I returned and had an amazing meal;a couple of months later i returned and had an amazing meal;['couple', 'months', 'later', 'returned', 'amazing', 'meal'];couple months later returned amazing meal
324;Favorite place in town for shawarrrrrrma!!!!!!;1;Favorite place in town for shawarrrrrrma;favorite place in town for shawarrrrrrma;['favorite', 'place', 'town', 'shawarrrrrrma'];favorite place town shawarrrrrrma
325;The black eyed peas and sweet potatoes... UNREAL!;1;The black eyed peas and sweet potatoes UNREAL;the black eyed peas and sweet potatoes unreal;['black', 'eyed', 'peas', 'sweet', 'potatoes', 'unreal'];black eyed peas sweet potatoes unreal
326;You won't be disappointed.;1;You won t be disappointed;you won t be disappointed;['disappointed'];disappointed
327;They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.;1;They could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good;they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good;['could', 'serve', 'vinaigrette', 'may', 'make', 'better', 'overall', 'dish', 'still', 'good'];could serve vinaigrette may make better overall dish still good
328;I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.;0;I go to far too many places and I ve never seen any restaurant that serves a egg breakfast especially for;i go to far too many places and i ve never seen any restaurant that serves a egg breakfast especially for;['go', 'far', 'many', 'places', 'never', 'seen', 'restaurant', 'serves', 'egg', 'breakfast', 'especially'];go far many places never seen restaurant serves egg breakfast especially
329;When my mom and I got home she immediately got sick and she only had a few bites of salad.;0;When my mom and I got home she immediately got sick and she only had a few bites of salad;when my mom and i got home she immediately got sick and she only had a few bites of salad;['mom', 'got', 'home', 'immediately', 'got', 'sick', 'bites', 'salad'];mom got home immediately got sick bites salad
330;The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.;0;The servers are not pleasant to deal with and they don t always honor Pizza Hut coupons;the servers are not pleasant to deal with and they don t always honor pizza hut coupons;['servers', 'pleasant', 'deal', 'always', 'honor', 'pizza', 'hut', 'coupons'];servers pleasant deal always honor pizza hut coupons
331;Both of them were truly unbelievably good, and I am so glad we went back.;1;Both of them were truly unbelievably good and I am so glad we went back;both of them were truly unbelievably good and i am so glad we went back;['truly', 'unbelievably', 'good', 'glad', 'went', 'back'];truly unbelievably good glad went back
332;We had fantastic service, and were pleased by the atmosphere.;1;We had fantastic service and were pleased by the atmosphere;we had fantastic service and were pleased by the atmosphere;['fantastic', 'service', 'pleased', 'atmosphere'];fantastic service pleased atmosphere
333;Everything was gross.;0;Everything was gross;everything was gross;['everything', 'gross'];everything gross
334;I love this place.;1;I love this place;i love this place;['love', 'place'];love place
335;Great service and food.;1;Great service and food;great service and food;['great', 'service', 'food'];great service food
336;First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!;0;First the bathrooms at this location were dirty Seat covers were not replenished just plain yucky;first the bathrooms at this location were dirty seat covers were not replenished just plain yucky;['first', 'bathrooms', 'location', 'dirty', 'seat', 'covers', 'replenished', 'plain', 'yucky'];first bathrooms location dirty seat covers replenished plain yucky
337;"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.";0;The burger I got the Gold Standard a burger and was kind of disappointed;the burger i got the gold standard a burger and was kind of disappointed;['burger', 'got', 'gold', 'standard', 'burger', 'kind', 'disappointed'];burger got gold standard burger kind disappointed
338;OMG, the food was delicioso!;1;OMG the food was delicioso;omg the food was delicioso;['omg', 'food', 'delicioso'];omg food delicioso
339;There is nothing authentic about this place.;0;There is nothing authentic about this place;there is nothing authentic about this place;['nothing', 'authentic', 'place'];nothing authentic place
340;the spaghetti is nothing special whatsoever.;0;the spaghetti is nothing special whatsoever;the spaghetti is nothing special whatsoever;['spaghetti', 'nothing', 'special', 'whatsoever'];spaghetti nothing special whatsoever
341;Of all the dishes, the salmon was the best, but all were great.;1;Of all the dishes the salmon was the best but all were great;of all the dishes the salmon was the best but all were great;['dishes', 'salmon', 'best', 'great'];dishes salmon best great
342;The vegetables are so fresh and the sauce feels like authentic Thai.;1;The vegetables are so fresh and the sauce feels like authentic Thai;the vegetables are so fresh and the sauce feels like authentic thai;['vegetables', 'fresh', 'sauce', 'feels', 'like', 'authentic', 'thai'];vegetables fresh sauce feels like authentic thai
343;It's worth driving up from Tucson!;1;It s worth driving up from Tucson;it s worth driving up from tucson;['worth', 'driving', 'tucson'];worth driving tucson
344;The selection was probably the worst I've seen in Vegas.....there was none.;0;The selection was probably the worst I ve seen in Vegas there was none;the selection was probably the worst i ve seen in vegas there was none;['selection', 'probably', 'worst', 'seen', 'vegas', 'none'];selection probably worst seen vegas none
345;Pretty good beer selection too.;1;Pretty good beer selection too;pretty good beer selection too;['pretty', 'good', 'beer', 'selection'];pretty good beer selection
346;This place is like Chipotle, but BETTER.;1;This place is like Chipotle but BETTER;this place is like chipotle but better;['place', 'like', 'chipotle', 'better'];place like chipotle better
347;Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!;1;Classy warm atmosphere fun and fresh appetizers succulent steaks Baseball steak;classy warm atmosphere fun and fresh appetizers succulent steaks baseball steak;['classy', 'warm', 'atmosphere', 'fun', 'fresh', 'appetizers', 'succulent', 'steaks', 'baseball', 'steak'];classy warm atmosphere fun fresh appetizers succulent steaks baseball steak
348;5 stars for the brick oven bread app!;1;stars for the brick oven bread app;stars for the brick oven bread app;['stars', 'brick', 'oven', 'bread', 'app'];stars brick oven bread app
349;I have eaten here multiple times, and each time the food was delicious.;1;I have eaten here multiple times and each time the food was delicious;i have eaten here multiple times and each time the food was delicious;['eaten', 'multiple', 'times', 'time', 'food', 'delicious'];eaten multiple times time food delicious
350;We sat another ten minutes and finally gave up and left.;0;We sat another ten minutes and finally gave up and left;we sat another ten minutes and finally gave up and left;['sat', 'another', 'ten', 'minutes', 'finally', 'gave', 'left'];sat another ten minutes finally gave left
351;He was terrible!;0;He was terrible;he was terrible;['terrible'];terrible
352;Everyone is treated equally special.;1;Everyone is treated equally special;everyone is treated equally special;['everyone', 'treated', 'equally', 'special'];everyone treated equally special
353;It shouldn't take 30 min for pancakes and eggs.;0;It shouldn t take min for pancakes and eggs;it shouldn t take min for pancakes and eggs;['take', 'min', 'pancakes', 'eggs'];take min pancakes eggs
354;It was delicious!!!;1;It was delicious;it was delicious;['delicious'];delicious
355;On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.;1;On the good side the staff was genuinely pleasant and enthusiastic a real treat;on the good side the staff was genuinely pleasant and enthusiastic a real treat;['good', 'side', 'staff', 'genuinely', 'pleasant', 'enthusiastic', 'real', 'treat'];good side staff genuinely pleasant enthusiastic real treat
356;Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.;0;Sadly Gordon Ramsey s Steak is a place we shall sharply avoid during our next trip to Vegas;sadly gordon ramsey s steak is a place we shall sharply avoid during our next trip to vegas;['sadly', 'gordon', 'ramsey', 'steak', 'place', 'shall', 'sharply', 'avoid', 'next', 'trip', 'vegas'];sadly gordon ramsey steak place shall sharply avoid next trip vegas
357;As always the evening was wonderful and the food delicious!;1;As always the evening was wonderful and the food delicious;as always the evening was wonderful and the food delicious;['always', 'evening', 'wonderful', 'food', 'delicious'];always evening wonderful food delicious
358;Best fish I've ever had in my life!;1;Best fish I ve ever had in my life;best fish i ve ever had in my life;['best', 'fish', 'ever', 'life'];best fish ever life
359;(The bathroom is just next door and very nice.);1;The bathroom is just next door and very nice;the bathroom is just next door and very nice;['bathroom', 'next', 'door', 'nice'];bathroom next door nice
360;The buffet is small and all the food they offered was BLAND.;0;The buffet is small and all the food they offered was BLAND;the buffet is small and all the food they offered was bland;['buffet', 'small', 'food', 'offered', 'bland'];buffet small food offered bland
361;This is an Outstanding little restaurant with some of the Best Food I have ever tasted.;1;This is an Outstanding little restaurant with some of the Best Food I have ever tasted;this is an outstanding little restaurant with some of the best food i have ever tasted;['outstanding', 'little', 'restaurant', 'best', 'food', 'ever', 'tasted'];outstanding little restaurant best food ever tasted
362;Pretty cool I would say.;1;Pretty cool I would say;pretty cool i would say;['pretty', 'cool', 'would', 'say'];pretty cool would say
363;Definitely a turn off for me & i doubt I'll be back unless someone else is buying.;0;Definitely a turn off for me i doubt I ll be back unless someone else is buying;definitely a turn off for me i doubt i ll be back unless someone else is buying;['definitely', 'turn', 'doubt', 'back', 'unless', 'someone', 'else', 'buying'];definitely turn doubt back unless someone else buying
364;Server did a great job handling our large rowdy table.;1;Server did a great job handling our large rowdy table;server did a great job handling our large rowdy table;['server', 'great', 'job', 'handling', 'large', 'rowdy', 'table'];server great job handling large rowdy table
365;I find wasting food to be despicable, but this just wasn't food.;0;I find wasting food to be despicable but this just wasn t food;i find wasting food to be despicable but this just wasn t food;['find', 'wasting', 'food', 'despicable', 'food'];find wasting food despicable food
366;My wife had the Lobster Bisque soup which was lukewarm.;0;My wife had the Lobster Bisque soup which was lukewarm;my wife had the lobster bisque soup which was lukewarm;['wife', 'lobster', 'bisque', 'soup', 'lukewarm'];wife lobster bisque soup lukewarm
367;Would come back again if I had a sushi craving while in Vegas.;1;Would come back again if I had a sushi craving while in Vegas;would come back again if i had a sushi craving while in vegas;['would', 'come', 'back', 'sushi', 'craving', 'vegas'];would come back sushi craving vegas
368;The staff are great, the ambiance is great.;1;The staff are great the ambiance is great;the staff are great the ambiance is great;['staff', 'great', 'ambiance', 'great'];staff great ambiance great
369;He deserves 5 stars.;1;He deserves stars;he deserves stars;['deserves', 'stars'];deserves stars
370;I left with a stomach ache and felt sick the rest of the day.;0;I left with a stomach ache and felt sick the rest of the day;i left with a stomach ache and felt sick the rest of the day;['left', 'stomach', 'ache', 'felt', 'sick', 'rest', 'day'];left stomach ache felt sick rest day
371;They dropped more than the ball.;0;They dropped more than the ball;they dropped more than the ball;['dropped', 'ball'];dropped ball
372;The dining space is tiny, but elegantly decorated and comfortable.;1;The dining space is tiny but elegantly decorated and comfortable;the dining space is tiny but elegantly decorated and comfortable;['dining', 'space', 'tiny', 'elegantly', 'decorated', 'comfortable'];dining space tiny elegantly decorated comfortable
373;They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!;1;They will customize your order any way you d like my usual is Eggplant with Green Bean stir fry love it;they will customize your order any way you d like my usual is eggplant with green bean stir fry love it;['customize', 'order', 'way', 'like', 'usual', 'eggplant', 'green', 'bean', 'stir', 'fry', 'love'];customize order way like usual eggplant green bean stir fry love
374;And the beans and rice were mediocre at best.;0;And the beans and rice were mediocre at best;and the beans and rice were mediocre at best;['beans', 'rice', 'mediocre', 'best'];beans rice mediocre best
375;Best tacos in town by far!!;1;Best tacos in town by far;best tacos in town by far;['best', 'tacos', 'town', 'far'];best tacos town far
376;I took back my money and got outta there.;0;I took back my money and got outta there;i took back my money and got outta there;['took', 'back', 'money', 'got', 'outta'];took back money got outta
377;In an interesting part of town, this place is amazing.;1;In an interesting part of town this place is amazing;in an interesting part of town this place is amazing;['interesting', 'part', 'town', 'place', 'amazing'];interesting part town place amazing
378;RUDE & INCONSIDERATE MANAGEMENT.;0;RUDE INCONSIDERATE MANAGEMENT;rude inconsiderate management;['rude', 'inconsiderate', 'management'];rude inconsiderate management
379;The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.;0;The staff are now not as friendly the wait times for being served are horrible no one even says hi for the first minutes;the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first minutes;['staff', 'friendly', 'wait', 'times', 'served', 'horrible', 'one', 'even', 'says', 'hi', 'first', 'minutes'];staff friendly wait times served horrible one even says hi first minutes
380;I won't be back.;0;I won t be back;i won t be back;['back'];back
381;They have great dinners.;1;They have great dinners;they have great dinners;['great', 'dinners'];great dinners
382;The service was outshining & I definitely recommend the Halibut.;1;The service was outshining I definitely recommend the Halibut;the service was outshining i definitely recommend the halibut;['service', 'outshining', 'definitely', 'recommend', 'halibut'];service outshining definitely recommend halibut
383;The food was terrible.;0;The food was terrible;the food was terrible;['food', 'terrible'];food terrible
384;WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.;0;WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED;will never ever go back and have told many people what had happened;['never', 'ever', 'go', 'back', 'told', 'many', 'people', 'happened'];never ever go back told many people happened
385;I don't recommend unless your car breaks down in front of it and you are starving.;0;I don t recommend unless your car breaks down in front of it and you are starving;i don t recommend unless your car breaks down in front of it and you are starving;['recommend', 'unless', 'car', 'breaks', 'front', 'starving'];recommend unless car breaks front starving
386;I will come back here every time I'm in Vegas.;1;I will come back here every time I m in Vegas;i will come back here every time i m in vegas;['come', 'back', 'every', 'time', 'vegas'];come back every time vegas
387;This place deserves one star and 90% has to do with the food.;0;This place deserves one star and has to do with the food;this place deserves one star and has to do with the food;['place', 'deserves', 'one', 'star', 'food'];place deserves one star food
388;This is a disgrace.;0;This is a disgrace;this is a disgrace;['disgrace'];disgrace
389;Def coming back to bowl next time;1;Def coming back to bowl next time;def coming back to bowl next time;['def', 'coming', 'back', 'bowl', 'next', 'time'];def coming back bowl next time
